func_name, vul_type, true_label, pred_label
ImagingLibTiffDecode, cwe-190, 1, 1
ImagingLibTiffDecode, cwe-190, 0, 1
futex_requeue, cwe-190, 1, 1
futex_requeue, cwe-190, 0, 1
_gd2GetHeader, cwe-190, 1, 1
_gd2GetHeader, cwe-190, 0, 1
jpc_pi_nextcprl, cwe-190, 1, 1
jpc_pi_nextcprl, cwe-190, 0, 1
process_get_command, cwe-190, 1, 1
process_get_command, cwe-190, 0, 1
Exiv2::WebPImage::getHeaderOffset, cwe-190, 1, 1
Exiv2::WebPImage::getHeaderOffset, cwe-190, 0, 1
ring_buffer_resize, cwe-190, 1, 1
ring_buffer_resize, cwe-190, 0, 1
rwpng_read_image24_libpng, cwe-190, 1, 1
rwpng_read_image24_libpng, cwe-190, 0, 1
UnicodeString::doAppend, cwe-190, 1, 1
UnicodeString::doAppend, cwe-190, 0, 1
WriteBMPImage, cwe-190, 1, 1
WriteBMPImage, cwe-190, 0, 1
AllocateDataSet, cwe-190, 1, 1
AllocateDataSet, cwe-190, 0, 1
vc4_get_bcl, cwe-190, 1, 0
vc4_get_bcl, cwe-190, 0, 1
TIFFSeekCustomStream, cwe-190, 1, 1
TIFFSeekCustomStream, cwe-190, 0, 1
perf_cpu_time_max_percent_handler, cwe-190, 1, 1
perf_cpu_time_max_percent_handler, cwe-190, 0, 1
git_delta_apply, cwe-190, 1, 1
git_delta_apply, cwe-190, 0, 1
uvesafb_setcmap, cwe-190, 1, 1
uvesafb_setcmap, cwe-190, 0, 1
b_unpack, cwe-190, 1, 1
b_unpack, cwe-190, 0, 1
copyaudiodata, cwe-190, 1, 0
copyaudiodata, cwe-190, 0, 1
_zend_hash_init, cwe-190, 1, 1
_zend_hash_init, cwe-190, 0, 1
Perl_re_op_compile, cwe-190, 1, 1
Perl_re_op_compile, cwe-190, 0, 1
mem_check_range, cwe-190, 1, 1
mem_check_range, cwe-190, 0, 1
set_geometry, cwe-190, 1, 1
set_geometry, cwe-190, 0, 1
__get_data_block, cwe-190, 1, 1
__get_data_block, cwe-190, 0, 1
HPHP::StringUtil::Implode, cwe-190, 1, 1
HPHP::StringUtil::Implode, cwe-190, 0, 1
PHP_FUNCTION, cwe-190, 1, 1
PHP_FUNCTION, cwe-190, 0, 0
amqp_handle_input, cwe-190, 1, 1
amqp_handle_input, cwe-190, 0, 0
choose_volume, cwe-190, 1, 1
choose_volume, cwe-190, 0, 1
cs_winkernel_malloc, cwe-190, 1, 1
cs_winkernel_malloc, cwe-190, 0, 0
hfs_cat_traverse, cwe-190, 1, 0
hfs_cat_traverse, cwe-190, 0, 1
PyImaging_MapBuffer, cwe-190, 1, 1
PyImaging_MapBuffer, cwe-190, 0, 1
read_entry, cwe-190, 1, 1
read_entry, cwe-190, 0, 1
read_SubStreamsInfo, cwe-190, 1, 1
read_SubStreamsInfo, cwe-190, 0, 0
gdi_Bitmap_Decompress, cwe-190, 1, 1
gdi_Bitmap_Decompress, cwe-190, 0, 1
SWFInput_readSBits, cwe-190, 1, 0
SWFInput_readSBits, cwe-190, 0, 1
layer_resize, cwe-190, 1, 0
layer_resize, cwe-190, 0, 1
ApplyEvaluateOperator, cwe-190, 1, 1
ApplyEvaluateOperator, cwe-190, 0, 1
authDigestNonceLink, cwe-190, 1, 1
authDigestNonceLink, cwe-190, 0, 1
jpc_dec_process_siz, cwe-190, 1, 0
jpc_dec_process_siz, cwe-190, 0, 1
build_board, cwe-089, 1, 1
build_board, cwe-089, 0, 1
check_and_update_ranks, cwe-089, 1, 1
check_and_update_ranks, cwe-089, 0, 1
tag_num_to_tag, cwe-089, 1, 1
tag_num_to_tag, cwe-089, 0, 0
get_item, cwe-089, 1, 1
get_item, cwe-089, 0, 0
getPostsByPostid, cwe-089, 1, 1
getPostsByPostid, cwe-089, 0, 1
getFileCacheID, cwe-089, 1, 1
getFileCacheID, cwe-089, 0, 1
add_post, cwe-089, 1, 1
add_post, cwe-089, 0, 1
getSubmissionDateFromDatabase, cwe-089, 1, 1
getSubmissionDateFromDatabase, cwe-089, 0, 1
ranks, cwe-089, 1, 1
ranks, cwe-089, 0, 1
set_language, cwe-089, 1, 1
set_language, cwe-089, 0, 1
tid_num_to_tag_nums, cwe-089, 1, 0
tid_num_to_tag_nums, cwe-089, 0, 1
summary, cwe-089, 1, 1
summary, cwe-089, 0, 1
add_post, cwe-089, 1, 1
add_post, cwe-089, 0, 0
delete_playlist, cwe-089, 1, 0
delete_playlist, cwe-089, 0, 1
writeToDb, cwe-089, 1, 1
writeToDb, cwe-089, 0, 1
send_message, cwe-089, 1, 1
send_message, cwe-089, 0, 1
delete, cwe-089, 1, 0
delete, cwe-089, 0, 1
delete_playlists_videos, cwe-089, 1, 1
delete_playlists_videos, cwe-089, 0, 0
upsert_mapped_projects, cwe-089, 1, 1
upsert_mapped_projects, cwe-089, 0, 0
get_first_ranked_month, cwe-089, 1, 1
get_first_ranked_month, cwe-089, 0, 1
openPoll, cwe-089, 1, 0
openPoll, cwe-089, 0, 1
__init__.view_grocery_list, cwe-089, 1, 0
__init__.view_grocery_list, cwe-089, 0, 1
view_page_record, cwe-089, 1, 1
view_page_record, cwe-089, 0, 1
update_inverter, cwe-089, 1, 1
update_inverter, cwe-089, 0, 1
insert, cwe-089, 1, 1
insert, cwe-089, 0, 0
save_failure_transaction, cwe-089, 1, 0
save_failure_transaction, cwe-089, 0, 0
test_process_as_form, cwe-089, 1, 0
test_process_as_form, cwe-089, 0, 1
render_page_name, cwe-089, 1, 1
render_page_name, cwe-089, 0, 1
tid_to_tid_num, cwe-089, 1, 1
tid_to_tid_num, cwe-089, 0, 0
get_old_sourcebyinstitution_number, cwe-089, 1, 1
get_old_sourcebyinstitution_number, cwe-089, 0, 1
top_karma, cwe-089, 1, 0
top_karma, cwe-089, 0, 0
retrieve_playlist_by_id, cwe-089, 1, 1
retrieve_playlist_by_id, cwe-089, 0, 1
get_task, cwe-089, 1, 1
get_task, cwe-089, 0, 1
stats, cwe-089, 1, 1
stats, cwe-089, 0, 0
delete, cwe-089, 1, hereisasnippetofcode
delete, cwe-089, 0, 1
verify_rno, cwe-089, 1, 1
verify_rno, cwe-089, 0, 1
get_requested_day, cwe-089, 1, 0
get_requested_day, cwe-089, 0, 0
add_language, cwe-089, 1, 0
add_language, cwe-089, 0, 1
makeJudge, cwe-089, 1, 0
makeJudge, cwe-089, 0, 0
isValidAdmToken, cwe-089, 1, 1
isValidAdmToken, cwe-089, 0, 1
get_mapped_projects, cwe-089, 1, 1
get_mapped_projects, cwe-089, 0, 1
delete_data, cwe-089, 1, 1
delete_data, cwe-089, 0, 1
user_verify, cwe-089, 1, 1
user_verify, cwe-089, 0, 1
search_films, cwe-089, 1, 1
search_films, cwe-089, 0, 0
getGameCountInSeriesSoFar, cwe-089, 1, 1
getGameCountInSeriesSoFar, cwe-089, 0, 1
add, cwe-089, 1, 1
add, cwe-089, 0, 1
get_mod_taken_together_with, cwe-089, 1, 1
get_mod_taken_together_with, cwe-089, 0, 1
wins, cwe-089, 1, 0
wins, cwe-089, 0, 0
delete_event, cwe-089, 1, 1
delete_event, cwe-089, 0, 0
add_item, cwe-089, 1, 1
add_item, cwe-089, 0, 1
fetch_issue, cwe-089, 1, 1
fetch_issue, cwe-089, 0, 1
also_add, cwe-089, 1, 0
also_add, cwe-089, 0, 1
getCommentsLike, cwe-089, 1, 1
getCommentsLike, cwe-089, 0, 1
update_theory_base, cwe-089, 1, 0
update_theory_base, cwe-089, 0, 1
get_asset_and_volume, cwe-089, 1, 1
get_asset_and_volume, cwe-089, 0, 1
reportMatch, cwe-089, 1, 1
reportMatch, cwe-089, 0, 1
getPlayer, cwe-089, 1, 1
getPlayer, cwe-089, 0, 1
karma_sub, cwe-089, 1, 0
karma_sub, cwe-089, 0, 0
login, cwe-089, 1, 1
login, cwe-089, 0, 1
fetch_data, cwe-089, 1, 1
fetch_data, cwe-089, 0, 1
registerPlayer, cwe-089, 1, 1
registerPlayer, cwe-089, 0, 1
register, cwe-089, 1, 0
register, cwe-089, 0, 0
process_form, cwe-089, 1, 1
process_form, cwe-089, 0, 0
load_user, cwe-089, 1, 1
load_user, cwe-089, 0, 1
delete, cwe-089, 1, 1
delete, cwe-089, 0, 1
get_markets, cwe-089, 1, 1
get_markets, cwe-089, 0, 0
get_secrets, cwe-089, 1, 1
get_secrets, cwe-089, 0, 0
add_consumption_data_row, cwe-089, 1, 1
add_consumption_data_row, cwe-089, 0, 1
lookup_assets, cwe-089, 1, 1
lookup_assets, cwe-089, 0, 0
set_state, cwe-089, 1, 1
set_state, cwe-089, 0, 1
_get_degree_2, cwe-089, 1, 1
_get_degree_2, cwe-089, 0, 1
get_tournaments_during_month, cwe-089, 1, 1
get_tournaments_during_month, cwe-089, 0, 1
add_input, cwe-089, 1, 1
add_input, cwe-089, 0, 0
get_error_days, cwe-089, 1, 1
get_error_days, cwe-089, 0, 1
all_deposits, cwe-089, 1, 1
all_deposits, cwe-089, 0, 0
get_user, cwe-089, 1, 1
get_user, cwe-089, 0, 1
compare_and_update, cwe-089, 1, 1
compare_and_update, cwe-089, 0, 1
GameNewPlayed, cwe-089, 1, 1
GameNewPlayed, cwe-089, 0, 1
insertNPC, cwe-089, 1, 1
insertNPC, cwe-089, 0, 1
get, cwe-089, 1, 1
get, cwe-089, 0, 1
h2h, cwe-089, 1, 0
h2h, cwe-089, 0, 1
insertData, cwe-089, 1, 1
insertData, cwe-089, 0, 1
get_requested_month_for_inverter, cwe-089, 1, 1
get_requested_month_for_inverter, cwe-089, 0, 1
delete_resultSet, cwe-089, 1, 1
delete_resultSet, cwe-089, 0, 0
getSeriesDateFromDatabase, cwe-089, 1, 1
getSeriesDateFromDatabase, cwe-089, 0, 1
karma_add, cwe-089, 1, 1
karma_add, cwe-089, 0, 1
update_date_modified, cwe-089, 1, 1
update_date_modified, cwe-089, 0, 0
system_search, cwe-089, 1, 1
system_search, cwe-089, 0, 1
add_input, cwe-089, 1, 0
add_input, cwe-089, 0, 1
get_login, cwe-089, 1, 1
get_login, cwe-089, 0, 1
login, cwe-089, 1, 1
login, cwe-089, 0, 1
get_current_state, cwe-089, 1, 1
get_current_state, cwe-089, 0, 1
fetch_page_name, cwe-089, 1, 1
fetch_page_name, cwe-089, 0, 0
save_page_edit, cwe-089, 1, 0
save_page_edit, cwe-089, 0, 1
get_top_popular, cwe-089, 1, 0
get_top_popular, cwe-089, 0, 1
render_page_edit, cwe-089, 1, 1
render_page_edit, cwe-089, 0, 1
get_monthly_ranks_for_scene, cwe-089, 1, 1
get_monthly_ranks_for_scene, cwe-089, 0, 1
auto_unlock_tasks, cwe-089, 1, 0
auto_unlock_tasks, cwe-089, 0, 1
add_input, cwe-089, 1, 0
add_input, cwe-089, 0, 1
getAllComments, cwe-089, 1, 1
getAllComments, cwe-089, 0, 0
update_user, cwe-089, 1, 1
update_user, cwe-089, 0, 1
save_accepted_transaction, cwe-089, 1, 0
save_accepted_transaction, cwe-089, 0, 1
shame_ask, cwe-089, 1, 0
shame_ask, cwe-089, 0, 0
incrementOption, cwe-089, 1, 1
incrementOption, cwe-089, 0, 0
overview, cwe-089, 1, 1
overview, cwe-089, 0, 1
addTags, cwe-089, 1, 1
addTags, cwe-089, 0, 1
edit, cwe-089, 1, 0
edit, cwe-089, 0, 1
process_form, cwe-089, 1, 0
process_form, cwe-089, 0, 1
clean_cache, cwe-089, 1, 1
clean_cache, cwe-089, 0, 0
quiz, cwe-089, 1, 0
quiz, cwe-089, 0, 1
reportMatch._checkPairing, cwe-089, 1, 1
reportMatch._checkPairing, cwe-089, 0, 0
add_month_data_row, cwe-089, 1, 1
add_month_data_row, cwe-089, 0, 1
create_playlist, cwe-089, 1, 0
create_playlist, cwe-089, 0, 0
karma_ask, cwe-089, 1, 1
karma_ask, cwe-089, 0, 1
post, cwe-089, 1, 0
post, cwe-089, 0, 1
add_day_data_row, cwe-089, 1, 1
add_day_data_row, cwe-089, 0, 1
store_metadata, cwe-089, 1, 0
store_metadata, cwe-089, 0, 0
get, cwe-089, 1, 1
get, cwe-089, 0, 1
check, cwe-089, 1, 1
check, cwe-089, 0, 1
delete_crawl, cwe-089, 1, 1
delete_crawl, cwe-089, 0, 1
add_movie, cwe-089, 1, 1
add_movie, cwe-089, 0, 0
new_category, cwe-089, 1, 1
new_category, cwe-089, 0, 1
