func_name, pred_label, true_label
jpc_pi_nextcprl,1, 1
AllocateDataSet,0, 0
vc4_get_bcl,0, 1
HPHP::StringUtil::Implode,1, 0
ApplyEvaluateOperator,1, 0
amqp_handle_input,0, 0
gdi_Bitmap_Decompress,1, 0
layer_resize, 1, 0
uvesafb_setcmap,0, 1
vc4_get_bcl,0, 0
jpc_dec_process_siz,0, 1
amqp_handle_input,0, 1
PHP_FUNCTION,0, 0
WriteBMPImage,1, 0
ImagingLibTiffDecode,0, 0
b_unpack,0, 0
process_get_command,0, 1
TIFFSeekCustomStream,1, 0
read_entry,1, 0
UnicodeString::doAppend,0, 0
copyaudiodata,1, 1
perf_cpu_time_max_percent_handler,0, 1
copyaudiodata,0, 0
gdi_Bitmap_Decompress,0, 1
_gd2GetHeader,1, 1
mem_check_range,0, 1
PyImaging_MapBuffer,1, 1
futex_requeue,0, 1
futex_requeue,0, 0
ring_buffer_resize,0, 1
layer_resize,1, 1
Exiv2::WebPImage::getHeaderOffset,0, 1
hfs_cat_traverse,1, 0
read_SubStreamsInfo,1, 1
cs_winkernel_malloc,1, 0
TIFFSeekCustomStream,0, 1
AllocateDataSet,1, 1
_zend_hash_init,0, 0
jpc_dec_process_siz,0, 0
b_unpack,0, 1
SWFInput_readSBits,1, 0
PyImaging_MapBuffer,-1, 0
git_delta_apply,0, 0
process_get_command,0, 0
ApplyEvaluateOperator,1, 1
jpc_pi_nextcprl,1, 0
authDigestNonceLink,0, 1
git_delta_apply,0, 1
WriteBMPImage,1, 1
HPHP::StringUtil::Implode,1, 1
set_geometry,0, 0
perf_cpu_time_max_percent_handler,0, 0
read_entry,0, 1
choose_volume,None, 0
rwpng_read_image24_libpng,1, 0
cs_winkernel_malloc,1, 1
choose_volume,0, 1
hfs_cat_traverse,0, 1
ring_buffer_resize,0, 0
__get_data_block,1, 1
mem_check_range,0, 0
Exiv2::WebPImage::getHeaderOffset,-1, 0
UnicodeString::doAppend,0, 1
_gd2GetHeader,1, 0
rwpng_read_image24_libpng,1, 1
ImagingLibTiffDecode,1, 1
set_geometry,None, 1
uvesafb_setcmap,1, 0
__get_data_block,0, 0
authDigestNonceLink,0, 0
PHP_FUNCTION,0, 1
SWFInput_readSBits,1, 1
read_SubStreamsInfo,0, 0
_zend_hash_init,-1, 1
